id,customer_id,date,product_category,rating,review_text
69,C069,2025-06-28,Home & Kitchen,3,"The toaster toasts unevenly. One side is dark while the other is light. Does the job but barely."
70,C070,2025-07-01,Electronics,4,"Great value webcam with decent 1080p quality. Plug and play setup. Good for video calls."
71,C071,2025-07-03,Clothing,5,"This linen shirt is perfect for summer. Lightweight, breathable, and looks sharp. Will buy more colors."
72,C072,2025-07-05,Home & Kitchen,2,"The blender leaked from the bottom on first use. Seal is defective. Returning for refund."
73,C073,2025-07-08,Electronics,4,"Solid portable speaker with good bass. Waterproof feature works great by the pool. Battery life is good."
74,C074,2025-07-10,Clothing,3,"Good value basics pack. The t-shirts are comfortable but thinner than expected. Okay for layering."
75,C075,2025-07-12,Home & Kitchen,5,"This espresso machine makes cafe-quality coffee at home. Worth the investment for coffee lovers."
76,C076,2025-07-15,Electronics,2,"The smart display is slow and voice recognition is terrible. Constantly mishearing commands."
77,C077,2025-07-18,Clothing,4,"Very comfortable and stylish boots. Broke in quickly and keep feet dry in rain. Good purchase."
78,C078,2025-07-20,Home & Kitchen,3,"The vegetable chopper works but the pieces are inconsistent. Some are sliced, others are crushed."
79,C079,2025-07-22,Electronics,1,"The laptop overheats and throttles performance within minutes of gaming. False advertising on specs."
80,C080,2025-07-25,Clothing,2,"The print on the t-shirt started cracking after first wash. Poor screen printing quality."
81,C081,2025-07-28,Home & Kitchen,4,"Excellent cast iron skillet. Heats evenly and retains heat well. Seasoning was pre-applied nicely."
82,C082,2025-08-01,Electronics,5,"This monitor arm is solid and well-built. Holds my ultrawide without any sag. Cable management is clean."
83,C083,2025-08-03,Clothing,3,"The belt looks nice but the leather is stiff and doesn't soften. Buckle scratched easily."
84,C084,2025-08-05,Home & Kitchen,1,"The air purifier is loud even on low setting and doesn't seem to make a difference in air quality."
85,C085,2025-08-08,Electronics,4,"Excellent graphics card. Runs all modern games at high settings. Runs cool and quiet."
86,C086,2025-08-10,Clothing,4,"Nice casual blazer that fits well off the rack. Good for business casual. Material wrinkles easily."
87,C087,2025-08-12,Home & Kitchen,5,"This chef's knife is incredibly sharp and well-balanced. Makes food prep a pleasure. Great gift."
88,C088,2025-08-15,Electronics,2,"The software for this printer is terrible. Constant driver issues and setup was a nightmare."
89,C089,2025-08-18,Clothing,1,"Sandals broke on the second day of wearing. The strap came unglued. Very poor quality control."
90,C090,2025-08-20,Home & Kitchen,4,"Good quality cutting boards that don't warp or stain. Knife-friendly surface and easy to clean."
91,C091,2025-08-22,Electronics,3,"The webcam microphone picks up too much background noise. Video quality is fine for the price."
92,C092,2025-08-25,Clothing,5,"This silk blouse is absolutely gorgeous. Flattering fit and luxurious feel. Worth every penny."
93,C093,2025-08-28,Home & Kitchen,3,"The microwave works fine but the display is dim and hard to read. Buttons feel cheap."
94,C094,2025-09-01,Electronics,4,"Solid CPU cooler that keeps temperatures low even under load. Installation was straightforward."
95,C095,2025-09-03,Clothing,2,"The jacket lining started tearing after minimal use. Poor stitching and cheap materials inside."
96,C096,2025-09-05,Home & Kitchen,5,"This Dutch oven is incredible for braising and baking bread. Heavy duty and beautiful design."
97,C097,2025-09-08,Electronics,3,"The mouse has good battery life but the scroll wheel is erratic. Sometimes scrolls opposite direction."
98,C098,2025-09-10,Clothing,4,"Classic trench coat that looks expensive. Fits well and the material is water-resistant."
99,C099,2025-09-12,Home & Kitchen,2,"The juicer extracts very little juice and wastes a lot of pulp. Requires too much preparation."
100,C100,2025-09-15,Electronics,5,"Incredible ultrawide monitor for productivity. The screen real estate is a game changer."
